gene_label,amr_source,n_carriers_reliable,n_carriers_bakta,carrier_recovery,prevalence,esm_lr_auroc_reliable,esm_lr_auroc_bakta,delta_auroc
GyrA,chromosomal,772,772,0,1.0,0.8972302824452092,0.8972302824452092,0.0
PmrB,chromosomal,772,769,3,1.0,0.7610987396060613,0.7650276296946112,-0.003928890088549908
OmpK36,chromosomal,765,387,378,0.9909326424870466,0.8244483433430057,0.683008300155206,0.14144004318779968
OmpK35,chromosomal,764,452,312,0.9896373056994818,0.8113345479901927,0.8094600775280982,0.0018744704620944352
ParC,chromosomal,754,754,0,0.9766839378238342,0.8933726222342189,0.8933726222342189,0.0
SHV-OKP-LEN,acquired,724,0,724,0.9378238341968912,0.7534996363527303,,
Sul,acquired,386,386,0,0.5,0.7080174850604705,0.7080174850604705,0.0
CTX-M,acquired,371,371,0,0.4805699481865285,0.7167112790636645,0.7167112790636645,0.0
AAC(6'),acquired,364,362,2,0.47150259067357514,0.766669665819406,0.7618072894407331,0.004862376378672928
OXA,acquired,308,308,0,0.39896373056994816,0.7148742980108118,0.7148742980108118,0.0
TEM,acquired,302,302,0,0.3911917098445596,0.618848925178637,0.618848925178637,0.0
Dfr,acquired,250,250,0,0.3238341968911917,0.6415412645927525,0.6415412645927525,0.0
StrB,acquired,249,0,249,0.3225388601036269,0.5997068328197284,,
StrA,acquired,243,0,243,0.31476683937823835,0.5950431503100374,,
ANT(3''),acquired,236,180,56,0.30569948186528495,0.6532717007445397,0.6181441242848895,0.035127576459650145
Cat,acquired,203,203,0,0.26295336787564766,0.6520345502395573,0.6520345502395573,0.0
AAC(3),acquired,202,202,0,0.2616580310880829,0.5887786700257176,0.5887786700257176,0.0
MphA,acquired,195,195,0,0.25259067357512954,0.6280038389155064,0.6280038389155064,0.0
Mrx,acquired,190,0,190,0.24611398963730569,0.6212370005473454,,
QnrB,acquired,182,182,0,0.23575129533678757,0.5821317977671309,0.5821317977671309,0.0
KPC,acquired,175,175,0,0.2266839378238342,0.6330199218720711,0.6330199218720711,0.0
TetA,acquired,166,166,0,0.21502590673575128,0.5526013901072947,0.5526013901072947,0.0
APH(3'),acquired,149,148,1,0.19300518134715025,0.5886587039161437,0.5907393661290685,-0.0020806622129248
TetD,acquired,76,76,0,0.09844559585492228,0.5087837685853747,0.5087837685853747,0.0
ArmA,acquired,56,56,0,0.07253886010362694,0.5283344955050198,0.5283344955050198,0.0
Arr,acquired,51,51,0,0.06606217616580311,0.5323458622939019,0.5323458622939019,0.0
NDM,acquired,50,50,0,0.06476683937823834,0.5397987568511895,0.5397987568511895,0.0
QnrS,acquired,47,47,0,0.06088082901554404,0.5144296736172032,0.5144296736172032,0.0
MsrE,acquired,45,45,0,0.05829015544041451,0.519408267164526,0.519408267164526,0.0
MphE,acquired,45,45,0,0.05829015544041451,0.520956579766216,0.520956579766216,0.0
CmlA,acquired,40,40,0,0.05181347150259067,0.519606961033508,0.519606961033508,0.0
ANT(2''),acquired,20,17,3,0.025906735751295335,0.49947514827061357,0.4998612891858051,-0.00038614091519151295
APH(4),acquired,19,18,1,0.02461139896373057,0.5090836838593097,0.5075353712576197,0.0015483126016899718
VEB,acquired,14,14,0,0.018134715025906734,0.4761717314858552,0.4761717314858552,0.0
CMY,acquired,10,10,0,0.012953367875647668,0.5052222747073951,0.5052222747073951,0.0
RmtF,acquired,9,8,1,0.011658031088082901,0.5053459897578934,0.5074116562071216,-0.0020656664492282317
FloR,acquired,8,8,0,0.010362694300518135,0.4923484115737304,0.4923484115737304,0.0
