gene_label,amr_source,n_carriers_reliable,n_carriers_bakta,carrier_recovery,prevalence,esm_lr_auroc_reliable,esm_lr_auroc_bakta,delta_auroc
GyrA,chromosomal,275,275,0,1.0,0.6530313588850174,0.6530313588850174,0.0
PmrB,chromosomal,275,275,0,1.0,0.6176306620209059,0.6176306620209059,0.0
ParC,chromosomal,274,274,0,0.9963636363636363,0.570766550522648,0.570766550522648,0.0
OmpK35,chromosomal,269,134,135,0.9781818181818182,0.6887456445993032,0.6582229965156794,0.030522648083623816
SHV-OKP-LEN,acquired,266,0,266,0.9672727272727273,0.47,,
OmpK36,chromosomal,262,95,167,0.9527272727272728,0.6988850174216028,0.6079790940766552,0.09090592334494763
AAC(6'),acquired,174,173,1,0.6327272727272727,0.5747038327526132,0.5859233449477351,-0.011219512195121961
TEM,acquired,158,158,0,0.5745454545454546,0.5614634146341463,0.5614634146341463,0.0
Sul,acquired,148,148,0,0.5381818181818182,0.4960627177700348,0.4960627177700348,0.0
OXA,acquired,141,141,0,0.5127272727272727,0.6489895470383275,0.6489895470383275,0.0
CTX-M,acquired,139,139,0,0.5054545454545455,0.5083275261324042,0.5083275261324042,0.0
Dfr,acquired,136,136,0,0.49454545454545457,0.6143205574912893,0.6143205574912893,0.0
ANT(3''),acquired,127,90,37,0.4618181818181818,0.5247735191637631,0.5091289198606271,0.015644599303135998
Cat,acquired,111,111,0,0.4036363636363636,0.5483275261324042,0.5483275261324042,0.0
MphA,acquired,102,102,0,0.3709090909090909,0.550766550522648,0.550766550522648,0.0
Mrx,acquired,102,0,102,0.3709090909090909,0.5336933797909408,,
KPC,acquired,92,92,0,0.33454545454545453,0.5347386759581882,0.5347386759581882,0.0
APH(3'),acquired,86,86,0,0.31272727272727274,0.5483623693379791,0.5483623693379791,0.0
AAC(3),acquired,86,86,0,0.31272727272727274,0.5406620209059233,0.5406620209059233,0.0
StrB,acquired,76,0,76,0.27636363636363637,0.4826480836236934,,
StrA,acquired,76,0,76,0.27636363636363637,0.5084668989547039,,
QnrB,acquired,51,51,0,0.18545454545454546,0.5378048780487806,0.5378048780487806,0.0
NDM,acquired,47,47,0,0.1709090909090909,0.5249825783972126,0.5249825783972126,0.0
MphE,acquired,45,45,0,0.16363636363636364,0.5188501742160279,0.5188501742160279,0.0
MsrE,acquired,45,45,0,0.16363636363636364,0.5203135888501742,0.5203135888501742,0.0
ArmA,acquired,41,41,0,0.14909090909090908,0.5255400696864112,0.5255400696864112,0.0
TetA,acquired,41,41,0,0.14909090909090908,0.38296167247386753,0.38296167247386753,0.0
TetD,acquired,36,36,0,0.13090909090909092,0.45895470383275255,0.45895470383275255,0.0
QnrS,acquired,33,33,0,0.12,0.5158536585365854,0.5158536585365854,0.0
Arr,acquired,31,31,0,0.11272727272727273,0.4789198606271776,0.4789198606271776,0.0
CmlA,acquired,17,17,0,0.06181818181818182,0.4665505226480836,0.4665505226480836,0.0
DHA,acquired,13,13,0,0.04727272727272727,0.5136585365853659,0.5136585365853659,0.0
CMY,acquired,13,13,0,0.04727272727272727,0.5145296167247387,0.5145296167247387,0.0
FloR,acquired,12,12,0,0.04363636363636364,0.500418118466899,0.500418118466899,0.0
