gene_label,amr_source,n_carriers_reliable,n_carriers_bakta,carrier_recovery,prevalence,esm_lr_auroc_reliable,esm_lr_auroc_bakta,delta_auroc
GyrA,chromosomal,826,826,0,1.0,0.7906128661510267,0.7906128661510267,0.0
PmrB,chromosomal,826,823,3,1.0,0.7189388997608176,0.7183735594694499,0.0005653402913676775
OmpK36,chromosomal,819,432,387,0.9915254237288136,0.807802938527009,0.6468952877954836,0.16090765073152546
OmpK35,chromosomal,818,487,331,0.9903147699757869,0.7653309725716773,0.7501630789302023,0.015167893641474972
ParC,chromosomal,812,812,0,0.9830508474576272,0.7750504768117292,0.7750504768117292,0.0
SHV-OKP-LEN,acquired,777,0,777,0.940677966101695,0.5983195104525829,,
AAC(6'),acquired,422,421,1,0.5108958837772397,0.6991644146242973,0.7018575466716367,-0.0026931320473393416
Sul,acquired,394,394,0,0.47699757869249393,0.5999534060199423,0.5999534060199423,0.0
CTX-M,acquired,391,391,0,0.47336561743341404,0.5258534464013916,0.5258534464013916,0.0
OXA,acquired,338,338,0,0.4092009685230024,0.7032025595626378,0.7032025595626378,0.0
TEM,acquired,332,332,0,0.4019370460048426,0.544522101077874,0.544522101077874,0.0
Dfr,acquired,285,285,0,0.3450363196125908,0.6230143198832044,0.6230143198832044,0.0
ANT(3''),acquired,274,210,64,0.33171912832929784,0.6413102227192247,0.5928121020097536,0.048498120709471015
StrB,acquired,263,0,263,0.31840193704600483,0.5261174789550523,,
StrA,acquired,255,0,255,0.30871670702179177,0.5190507253129562,,
MphA,acquired,233,233,0,0.2820823244552058,0.6081756903674712,0.6081756903674712,0.0
AAC(3),acquired,230,230,0,0.2784503631961259,0.5673345137141614,0.5673345137141614,0.0
Cat,acquired,230,230,0,0.2784503631961259,0.6813406641195293,0.6813406641195293,0.0
Mrx,acquired,229,0,229,0.2772397094430993,0.6062622309197652,,
KPC,acquired,223,223,0,0.26997578692493945,0.8108781412108221,0.8108781412108221,0.0
TetA,acquired,189,189,0,0.2288135593220339,0.5727207778088405,0.5727207778088405,0.0
QnrB,acquired,188,188,0,0.22760290556900725,0.5279967694840494,0.5279967694840494,0.0
APH(3'),acquired,163,162,1,0.1973365617433414,0.5434659708632311,0.5407045009784737,0.0027614698847574504
QnrS,acquired,106,106,0,0.12832929782082325,0.5579691237225484,0.5579691237225484,0.0
TetD,acquired,99,99,0,0.1198547215496368,0.5134283850526512,0.5134283850526512,0.0
Arr,acquired,93,93,0,0.11259079903147699,0.5866616966421272,0.5866616966421272,0.0
NDM,acquired,88,88,0,0.10653753026634383,0.6098530736495511,0.6098530736495511,0.0
ArmA,acquired,52,52,0,0.06295399515738499,0.5229118131270774,0.5229118131270774,0.0
MsrE,acquired,41,41,0,0.04963680387409201,0.5186220606964247,0.5186220606964247,0.0
MphE,acquired,41,41,0,0.04963680387409201,0.5245239648370763,0.5245239648370763,0.0
CmlA,acquired,37,37,0,0.044794188861985475,0.5018544404062996,0.5018544404062996,0.0
FloR,acquired,31,31,0,0.03753026634382567,0.5073680613798031,0.5073680613798031,0.0
RmtB,acquired,26,26,0,0.031476997578692496,0.5338613984406548,0.5338613984406548,0.0
ANT(2''),acquired,20,17,3,0.024213075060532687,0.4976920448544715,0.493085453359426,0.004606591495045498
APH(4),acquired,19,18,1,0.023002421307506054,0.5011710620321188,0.5008231603143541,0.00034790171776466483
LAP,acquired,17,17,0,0.020581113801452784,0.4975864318330072,0.4975864318330072,0.0
VEB,acquired,14,14,0,0.01694915254237288,0.49908054546019326,0.49908054546019326,0.0
Erm,acquired,10,10,0,0.012106537530266344,0.5026154754139098,0.5026154754139098,0.0
RmtF,acquired,10,9,1,0.012106537530266344,0.5088808125990122,0.508374491349051,0.0005063212499611947
CMY,acquired,9,9,0,0.010895883777239709,0.5013791818097102,0.5013791818097102,0.0
