gene_label,amr_source,n_carriers_reliable,n_carriers_bakta,carrier_recovery,prevalence,esm_lr_auroc_reliable,esm_lr_auroc_bakta,delta_auroc
GyrA,chromosomal,363,363,0,1.0,0.6008005600876659,0.6008005600876659,0.0
PmrB,chromosomal,363,362,1,1.0,0.6295963716059905,0.6269481310118106,0.002648240594179896
OmpK35,chromosomal,360,165,195,0.9917355371900827,0.6554852063801291,0.5837696335078533,0.07171557287227581
ParC,chromosomal,358,358,0,0.9862258953168044,0.5591744794837453,0.5591744794837453,0.0
OmpK36,chromosomal,357,226,131,0.9834710743801653,0.6220930232558141,0.5703762328016558,0.051716790454158224
SHV-OKP-LEN,acquired,335,0,335,0.9228650137741047,0.6457141117740168,,
Sul,acquired,219,219,0,0.6033057851239669,0.5515645927188604,0.5515645927188604,0.0
CTX-M,acquired,201,201,0,0.5537190082644629,0.6843875563131621,0.6843875563131621,0.0
AAC(6'),acquired,180,179,1,0.49586776859504134,0.6890600267868014,0.6938238159016193,-0.004763789114817896
OXA,acquired,172,172,0,0.4738292011019284,0.6537958115183247,0.6537958115183247,0.0
Dfr,acquired,146,146,0,0.4022038567493113,0.5501034944600024,0.5501034944600024,0.0
ANT(3''),acquired,142,118,24,0.39118457300275483,0.5568154145866309,0.540865091927432,0.015950322659198823
TEM,acquired,138,138,0,0.38016528925619836,0.5833434798490198,0.5833434798490198,0.0
AAC(3),acquired,123,123,0,0.33884297520661155,0.6369627419943992,0.6369627419943992,0.0
MphA,acquired,118,118,0,0.325068870523416,0.5327986119566541,0.5327986119566541,0.0
Cat,acquired,117,117,0,0.32231404958677684,0.613630829173262,0.613630829173262,0.0
KPC,acquired,115,115,0,0.3168044077134986,0.5680323876780714,0.5680323876780714,0.0
Mrx,acquired,114,0,114,0.3140495867768595,0.5246255935711677,,
StrB,acquired,113,0,113,0.31129476584022037,0.6091714355290392,,
StrA,acquired,109,0,109,0.3002754820936639,0.6137373675879703,,
TetA,acquired,101,101,0,0.27823691460055094,0.7347193473761111,0.7347193473761111,0.0
APH(3'),acquired,97,96,1,0.26721763085399447,0.5262693291123829,0.526725922318276,-0.0004565932058930855
QnrB,acquired,67,67,0,0.18457300275482094,0.5805126019724827,0.5805126019724827,0.0
TetD,acquired,40,40,0,0.11019283746556474,0.5811366126872033,0.5811366126872033,0.0
CmlA,acquired,30,30,0,0.08264462809917356,0.5381864117861925,0.5381864117861925,0.0
QnrS,acquired,28,28,0,0.07713498622589532,0.5109734567149641,0.5109734567149641,0.0
Arr,acquired,27,27,0,0.0743801652892562,0.5376537197126507,0.5376537197126507,0.0
APH(4),acquired,14,13,1,0.03856749311294766,0.5167417508827468,0.5148240594179958,0.001917691464750959
NDM,acquired,14,14,0,0.03856749311294766,0.5167417508827469,0.5167417508827469,0.0
ArmA,acquired,13,13,0,0.03581267217630854,0.5099080725678802,0.5099080725678802,0.0
MsrE,acquired,13,13,0,0.03581267217630854,0.49971082430293434,0.49971082430293434,0.0
MphE,acquired,13,13,0,0.03581267217630854,0.5100450505296481,0.5100450505296481,0.0
ANT(2''),acquired,11,11,0,0.030303030303030304,0.49929989041763057,0.49929989041763057,0.0
