gene_label,amr_source,n_carriers_reliable,n_carriers_bakta,carrier_recovery,prevalence,esm_lr_auroc_reliable,esm_lr_auroc_bakta,delta_auroc
GyrA,chromosomal,743,743,0,1.0,0.7486052998605299,0.7486052998605299,0.0
PmrB,chromosomal,743,740,3,1.0,0.6262452679816698,0.6234890748489075,0.002756193132762319
OmpK35,chromosomal,735,426,309,0.9892328398384926,0.6573188550175998,0.6568996147971042,0.00041924022049555365
OmpK36,chromosomal,735,383,352,0.9892328398384926,0.6971964866839344,0.6315418077970378,0.06565467888689658
ParC,chromosomal,729,729,0,0.9811574697173621,0.7282576210400479,0.7282576210400479,0.0
SHV-OKP-LEN,acquired,696,0,696,0.9367429340511441,0.6735654512851166,,
Sul,acquired,384,384,0,0.5168236877523553,0.7999144915985921,0.7999144915985921,0.0
CTX-M,acquired,371,371,0,0.4993270524899058,0.7212799694494255,0.7212799694494255,0.0
AAC(6'),acquired,356,355,1,0.4791386271870794,0.7826509264793784,0.7808494387992295,0.0018014876801488722
OXA,acquired,303,303,0,0.4078061911170929,0.6958432954771867,0.6958432954771867,0.0
TEM,acquired,297,297,0,0.3997308209959623,0.6387311549445441,0.6387311549445441,0.0
StrB,acquired,254,0,254,0.34185733512786004,0.7147713687985655,,
Dfr,acquired,250,250,0,0.3364737550471063,0.7258542538354255,0.7258542538354255,0.0
StrA,acquired,248,0,248,0.33378196500672946,0.7187437736600916,,
ANT(3''),acquired,233,178,55,0.3135935397039031,0.6622252108653782,0.6432307232516438,0.018994487613734456
Cat,acquired,204,204,0,0.27456258411843876,0.6620301188815834,0.6620301188815834,0.0
AAC(3),acquired,201,201,0,0.27052489905787347,0.616561233977552,0.616561233977552,0.0
MphA,acquired,195,195,0,0.26244952893674295,0.6699458723517301,0.6699458723517301,0.0
Mrx,acquired,190,0,190,0.2557200538358008,0.6666625157733944,,
QnrB,acquired,176,176,0,0.23687752355316286,0.6370583449558345,0.6370583449558345,0.0
KPC,acquired,174,174,0,0.23418573351278602,0.5555763100219168,0.5555763100219168,0.0
TetA,acquired,167,167,0,0.22476446837146702,0.626129042970047,0.626129042970047,0.0
APH(3'),acquired,151,150,1,0.2032301480484522,0.6079688849040314,0.6069394633725178,0.0010294215315136412
TetD,acquired,74,74,0,0.09959623149394348,0.5115892940160722,0.5115892940160722,0.0
ArmA,acquired,57,57,0,0.07671601615074024,0.5333690310154745,0.5333690310154745,0.0
QnrS,acquired,54,54,0,0.07267833109017496,0.500124526798167,0.500124526798167,0.0
NDM,acquired,52,52,0,0.06998654104979811,0.5213438932058179,0.5213438932058179,0.0
Arr,acquired,51,51,0,0.06864064602960969,0.5294215315135817,0.5294215315135817,0.0
MphE,acquired,45,45,0,0.06056527590847914,0.5272713687985654,0.5272713687985654,0.0
MsrE,acquired,45,45,0,0.06056527590847914,0.5272298598658431,0.5272298598658431,0.0
CmlA,acquired,41,41,0,0.05518169582772544,0.5272174071860264,0.5272174071860264,0.0
ANT(2''),acquired,20,17,3,0.026917900403768506,0.5041135352327821,0.5070938766022448,-0.00298034136946268
APH(4),acquired,18,17,1,0.024226110363391656,0.5060104934581922,0.5046074915321777,0.0014030019260145021
VEB,acquired,15,15,0,0.020188425302826378,0.5097338447233845,0.5097338447233845,0.0
CMY,acquired,10,10,0,0.013458950201884253,0.49443365212193663,0.49443365212193663,0.0
LAP,acquired,9,9,0,0.012113055181695828,0.5021833698611942,0.5021833698611942,0.0
RmtF,acquired,9,8,1,0.012113055181695828,0.5021211064621106,0.5027105333067676,-0.000589426844657015
RmtB,acquired,8,8,0,0.010767160161507403,0.5011165902902305,0.5011165902902305,0.0
