gene_name,annotation,prevalence,lr_auroc_isoniazid,n_train,n_pos,kept_filtered
katG,,0.9895,0.9036780978248117,1980,989,True
rpoB,,0.985,0.8574875660154849,1975,990,True
embB,,0.989,0.8068828030319328,1976,987,True
pncA,,0.9335,0.7151011642364643,1865,882,False
rsmG,,0.9735,0.7100160516339808,1952,971,False
gyrA,,0.9875,0.6870970862417457,1982,995,False
rpsL,,0.987,0.6855902229198731,1981,995,False
pE_PGRS26,,0.4415,0.682976371069344,882,445,False
mhpF,,0.1715,0.6726771176747628,345,167,False
espK,,0.964,0.6680098221626065,1923,968,False
bioF2,,0.946,0.6596048136489634,1891,949,False
pPE18,,0.5775,0.6590770682987729,1149,615,False
pPE59,,0.836,0.6585354264041401,1667,849,False
plsB1,,0.9645,0.6564426992437463,1927,972,False
ethA,,0.977,0.6527751549562935,1953,957,False
mmpS,,0.1185,0.6457199032062916,239,87,False
pE_PGRS30,,0.568,0.6449208508840596,1135,579,False
fadE17,,0.9795,0.6448182992067885,1948,975,False
eno,,0.9765,0.6443742997680124,1960,978,False
adnA,,0.949,0.6441810574565612,1898,944,False
ytxK,,0.9895,0.644114336722813,1979,991,False
plcA,,0.93,0.6428548027014758,1849,932,False
ctpD,,0.966,0.639851617913983,1931,967,False
polA,,0.9885,0.6397904371668246,1981,991,False
ctpF,,0.9345,0.6397040891919624,1865,948,False
mbtB,,0.9485,0.639516705777182,1892,942,False
lldD,,0.99,0.6367542972699697,1979,990,False
mmpL9,,0.981,0.6360547166303546,1957,974,False
pE23,,0.9665,0.635806079800069,1927,967,False
pE_PGRS46,,0.4865,0.6341698841698842,967,518,False
atsD,,0.9965,0.6337516565761541,1993,996,False
opcA,,0.995,0.632710443395815,1986,993,False
mftG,,0.996,0.6319967927855784,1994,997,False
yhfA,,0.993,0.6318141406579009,1983,994,False
nlpC,,0.946,0.6307720501142007,1892,946,False
pPE38,,0.535,0.6303743533603795,1063,586,False
lipL,,0.9955,0.6300786058808097,1991,996,False
sufB,,0.9825,0.6295097835714917,1973,991,False
ftsK,,0.2355,0.6275652900366859,473,266,False
gcvH,,0.99,0.6274855509208974,1986,993,False
ephB,,0.999,0.6274411371372993,1987,995,False
hddA,,0.996,0.6266743606802103,1986,992,False
pks15,,0.8785,0.6254715463607258,1756,882,False
pPE3,,0.9175,0.6253303885656826,1828,910,False
lhr,,0.9345,0.6248537107652845,1869,930,False
lipF,,0.975,0.624691004077472,1941,981,False
lysX,,0.993,0.6245453587587965,1987,994,False
fadD23,,0.988,0.6241047586232357,1975,987,False
lysS,,0.99,0.6231379495012006,1984,991,False
proX,,0.9905,0.6229176261091154,1977,990,False
mmpL10,,0.9975,0.6227498109254742,1989,996,False
leuS,,0.987,0.622655663915979,1981,992,False
carA,,0.982,0.6219739870514794,1966,984,False
glpQ1,,0.995,0.6219108758265385,1986,996,False
nodJ,,0.959,0.6217043329908131,1915,949,False
ponA1,,0.844,0.621671993725596,1687,849,False
csa3,,0.994,0.6216410729035697,1983,996,False
accD6,,0.992,0.6208906742425401,1982,995,False
pknA,,0.888,0.6207547385421746,1775,896,False
fadD15,,0.9655,0.6204039111088008,1922,951,False
fadD19,,0.464,0.6200809942745427,927,465,False
eccD3,,0.9905,0.6198116684272067,1974,993,False
pknB,,0.989,0.6196360645835375,1980,996,False
cyp121,,0.929,0.6194612928877415,1853,954,False
desA,,0.9785,0.6189060939842682,1958,981,False
narL,,0.985,0.6188624685348145,1961,981,False
chiZ,,0.973,0.6186142323289218,1942,961,False
mmaA2,,0.9975,0.618141906302565,1994,996,False
pimE,,0.9975,0.6179976445015474,1990,996,False
nudC,,0.9905,0.617861319559497,1985,993,False
amyA,,0.9885,0.6176228523522526,1978,993,False
lipQ,,0.9965,0.617462185298351,1990,995,False
ramB,,0.993,0.6173676102073047,1982,991,False
sigG,,0.9945,0.6170475493043104,1990,995,False
pyrD,,0.9895,0.6169792088184525,1976,991,False
lipU,,0.996,0.6168564507408248,1982,991,False
aRO8,,0.9965,0.616347736066046,1993,999,False
guaB,,0.9665,0.6161447721806484,1940,971,False
spmT,,0.973,0.61563648410642,1944,972,False
ggtA,,0.9945,0.6153693025320722,1982,991,False
cyp138,,0.9975,0.6151563209796143,1995,996,False
nrnA,,0.9935,0.61512622772362,1981,993,False
papA2,,0.9895,0.6144036770632719,1975,993,False
dusB,,0.9845,0.6129681980604957,1978,995,False
kgd,,0.996,0.6129275897560089,1991,995,False
cobN,,0.9765,0.6124398073836275,1959,980,False
obgE,,0.985,0.612283238476132,1975,990,False
mshA,,0.968,0.6118448718278794,1931,963,False
ansA,,0.973,0.6118337556763321,1948,974,False
csm4,,0.994,0.6118177561302776,1978,994,False
pPE17,,0.977,0.6116260419964122,1947,975,False
wag22,,0.1675,0.6115478195770166,332,137,False
embC,,0.9895,0.6111328868566376,1977,988,False
sdhD,,0.9925,0.6111147206143013,1985,994,False
accD1,,0.993,0.6107545749539708,1983,993,False
sulP,,0.9665,0.6105590720461835,1933,977,False
argS,,0.989,0.6103480521480473,1987,996,False
crtC,,0.9935,0.6102501832844577,1982,992,False
rpfE,,0.991,0.609122442959301,1983,993,False
glgB,,0.9835,0.6088025978066423,1977,989,False
pks13,,0.9505,0.6083530220846781,1899,945,False
fadD32,,0.9935,0.608214962986425,1985,996,False
pafB,,0.999,0.608084823714942,1986,995,False
lprF,,0.994,0.6076739087712725,1982,991,False
ltp2,,0.988,0.6074951753305411,1974,990,False
trmL,,0.9885,0.6073690740498889,1980,992,False
ccsB,,0.992,0.6072182370437665,1984,993,False
mycP4,,0.9715,0.6071277793414016,1937,969,False
pdtaS,,0.9965,0.6070503524672709,1993,993,False
pPE1,,0.949,0.6067863136356286,1894,949,False
ponA2,,0.9625,0.6058927029360968,1925,960,False
ggt,,0.9825,0.6058387759102775,1969,990,False
wecE,,0.995,0.6058025212005426,1984,995,False
pPE25,,0.447,0.6052338530066815,893,444,False
pPE20,,0.9895,0.6049654027465909,1972,983,False
dkgA,,0.994,0.6049100193196052,1986,995,False
uvrC,,0.989,0.604854838121406,1987,996,False
pPE66,,0.235,0.6043419343910564,466,199,False
aftB,,0.99,0.6043397671239739,1978,991,False
ybbP,,0.9875,0.6038579712988831,1968,985,False
cyp143,,0.997,0.6036517385404438,1983,994,False
eRF1,,0.9945,0.603424743665635,1978,991,False
purF,,0.989,0.6030402564481846,1987,998,False
adnB,,0.954,0.6028384418621004,1908,952,False
secA2,,0.994,0.6025064906089003,1986,996,False
kefB,,0.994,0.6023727707611127,1990,994,False
kdpD,,0.9025,0.6020470041045013,1811,887,False
dinG,,0.985,0.6015025915796036,1972,989,False
phiG,,0.996,0.6006840814997915,1983,993,False
pepE,,0.9875,0.5991889460951553,1967,987,False
pPE44,,0.9895,0.5991119930572326,1977,988,False
lppW,,0.995,0.5989581643084313,1986,994,False
oxyS,,0.996,0.5988211539183144,1986,993,False
lppN,,0.9925,0.598408560845109,1984,999,False
ctpV,,0.9605,0.5982246931514714,1918,962,False
glgP,,0.99,0.5981166188313629,1980,991,False
pheT,,0.9615,0.5979021468658775,1927,965,False
fadD6,,0.993,0.5965432612101882,1986,995,False
mmpL5,,0.9735,0.5959592065235761,1946,976,False
vapC38,,0.9965,0.5957567859479029,1986,995,False
vapB47,,0.35,0.5957490258865045,700,341,False
yggS,,0.993,0.5956584124609782,1984,992,False
htdY,,0.966,0.5955287051414769,1926,960,False
narS,,0.996,0.5951896565026535,1985,996,False
cut5b,,0.907,0.5950539804875066,1810,945,False
bkdC,,0.982,0.5941160066926938,1957,979,False
mtrB,,0.9935,0.5931981875274064,1992,995,False
nrdE,,0.983,0.5917945043742932,1967,989,False
bglS,,0.9915,0.5916571147863108,1977,992,False
tap,,0.971,0.5912728050353009,1939,967,False
pPE19,,0.474,0.591058876740526,946,557,False
maf,,0.9925,0.5907381034728297,1983,995,False
hcaE,,0.9895,0.5904134098774647,1978,995,False
purU,,0.993,0.5904100762282228,1987,996,False
fadD28,,0.9935,0.5897620375931217,1984,993,False
proV,,0.989,0.589120047861791,1976,988,False
pPE22,,0.9515,0.5890622469601948,1899,946,False
lipI,,0.9905,0.5890148954043478,1976,986,False
plcC,,0.939,0.5888423446370467,1868,962,False
lipY,,0.998,0.5883760947404073,1992,996,False
stp,,0.995,0.5877901109989908,1984,993,False
yqjF,,0.9805,0.5877472864697624,1951,967,False
esxU,,0.997,0.5870798810992846,1987,993,False
mprB,,0.972,0.5869682944994148,1939,975,False
accE5,,0.545,0.5869171670787707,1090,494,False
esxJ,,0.164,0.5868241235888295,329,153,False
narJ,,0.9905,0.5864102014135719,1979,995,False
nrtS,,0.998,0.5857965857371109,1992,997,False
glfT1,,0.9985,0.5857231531335763,1994,998,False
recX,,0.988,0.5855268528003722,1980,994,False
fdhD,,0.9895,0.5853390314608733,1982,993,False
rfbC,,0.993,0.5850768236572422,1981,994,False
far,,0.9935,0.5847979134972436,1978,994,False
rskA,,0.9985,0.5846268725856283,1993,997,False
recR,,0.9895,0.5846116979972175,1989,997,False
pknJ,,0.9685,0.5841291407867495,1926,960,False
preP,,0.909,0.5835223880597015,1813,938,False
esxV,,0.4965,0.5832471011677131,992,535,False
kstD,,0.982,0.5831674144263289,1963,986,False
vapC37,,0.996,0.5830805486118567,1978,993,False
galK,,0.9445,0.5817490174625985,1889,943,False
mutT4,,0.9815,0.581233520875288,1963,983,False
mftR,,0.9965,0.5807128514056226,1996,1000,False
umaA,,0.991,0.580577068863073,1976,990,False
oxc,,0.9965,0.580225712469115,1994,998,False
pE_PGRS24,,0.6105,0.5788183358311071,1214,618,False
cut1,,0.2625,0.5779254373201409,521,183,False
glcB,,0.997,0.577011719262415,1991,997,False
skfB,,0.993,0.5763223919216324,1980,989,False
purL,,0.987,0.5748226682610879,1980,994,False
fadH2,,0.9955,0.5746713825687589,1985,997,False
ypfJ,,0.9865,0.5746481193562669,1971,986,False
lpqY,,0.998,0.574332584767525,1993,998,False
trpG,,0.9985,0.5737080982426237,1995,997,False
damX,,0.954,0.5734638224125187,1900,943,False
