gene_name,annotation,prevalence,lr_auroc_levofloxacin,n_train,n_pos,kept_filtered
gyrA,,0.9935,0.9180201813898468,1989,995,True
embB,,0.98,0.7866321741518336,1961,984,False
rpoB,,0.989,0.7616420517220248,1979,984,False
katG,,0.9905,0.7547597378216011,1980,988,False
pncA,,0.9185,0.7237997598925459,1837,870,False
ethA,,0.9635,0.6882284156185672,1927,942,False
espK,,0.96,0.681574090249664,1920,961,False
rsmG,,0.9795,0.6732535919473046,1962,981,False
fadE17,,0.974,0.6661773964557047,1946,982,False
ftsK,,0.2655,0.6649412128278246,534,257,False
pE_PGRS30,,0.6305,0.6561881699046967,1261,647,False
dkgA,,0.997,0.6561280226220831,1993,997,False
rpsL,,0.9945,0.655097922202554,1992,994,False
ybbP,,0.9905,0.6537855854202979,1981,991,False
eccD3,,0.991,0.6531699607485427,1980,993,False
pPE18,,0.7905,0.6531226991901149,1581,801,False
pE23,,0.9625,0.6523599937818196,1925,972,False
lhr,,0.937,0.6509631433496593,1874,966,False
pks15,,0.8925,0.6504193484733655,1784,887,False
cut5b,,0.951,0.6503426667109531,1901,966,False
plcA,,0.943,0.6491597349022791,1884,954,False
pPE22,,0.9355,0.6488405700997195,1871,958,False
pPE1,,0.953,0.6481214159901468,1904,966,False
mycP4,,0.9615,0.6471820207388023,1922,979,False
glpQ1,,0.997,0.6466249299553626,1994,997,False
purF,,0.9945,0.6465980250238909,1992,994,False
kgd,,0.9985,0.6460496987951807,1996,1000,False
mmpL9,,0.9735,0.6459386090924455,1946,976,False
lysX,,0.9945,0.6458922295425406,1989,993,False
desA,,0.979,0.6442120688610683,1957,986,False
fadD32,,0.9955,0.6439892541947451,1992,995,False
nrtS,,0.997,0.6437308914695896,1993,997,False
pPE44,,0.98,0.6430812463908906,1959,986,False
lldD,,0.9945,0.6429825182249274,1989,995,False
chiZ,,0.9645,0.6429233248866594,1927,976,False
hcaE,,0.99,0.6428812901512598,1979,989,False
uvrC,,0.9945,0.6410587127626973,1992,996,False
purU,,0.9945,0.6407124420038466,1991,993,False
glgB,,0.9875,0.640055314340094,1975,989,False
cyp143,,0.9975,0.6393175510467144,1993,996,False
atsD,,0.9935,0.6391368240211027,1986,989,False
mmpL5,,0.964,0.6382481279965523,1927,977,False
ypfJ,,0.9895,0.6377018674140136,1979,991,False
proX,,0.9955,0.6376951548322516,1991,999,False
narS,,0.9955,0.6359362071401182,1991,995,False
dinG,,0.984,0.6358838982071516,1969,992,False
esxV,,0.741,0.6357961474146933,1481,764,False
ramB,,0.993,0.6357468036578303,1986,993,False
mftG,,0.997,0.6352157675431104,1995,997,False
argS,,0.996,0.6350099797989553,1994,996,False
leuS,,0.994,0.6347933246977113,1992,995,False
lipF,,0.98,0.6347305357977693,1958,992,False
mprB,,0.975,0.6337871847522771,1949,975,False
cyp138,,0.9975,0.6337499472364992,1995,997,False
fadD15,,0.9405,0.6335767991407089,1881,931,False
bioF2,,0.964,0.6333531035672691,1926,970,False
eno,,0.978,0.6328088681349607,1959,985,False
prcA,,0.997,0.6323891433578569,1994,997,False
wecE,,0.9985,0.6321341401582123,1996,997,False
trpG,,0.9965,0.6319927953018102,1991,995,False
disA,,0.9975,0.6317785571142285,1998,998,False
lipY,,0.998,0.6308029917467668,1995,996,False
opcA,,0.997,0.6294901739285994,1995,997,False
pPE3,,0.9155,0.6284031241403233,1829,930,False
mmpL12,,0.917,0.6276245138246902,1834,937,False
pPE59,,0.9155,0.6275897044258558,1831,926,False
yhfA,,0.9975,0.6273251256281408,1995,995,False
pta,,0.9945,0.6265842263526469,1991,995,False
ponA1,,0.869,0.6265167552711721,1737,888,False
mmaA2,,0.9975,0.6263640470056105,1994,997,False
adnA,,0.9395,0.6261758649467516,1879,967,False
mbtB,,0.9365,0.6261652324758621,1873,965,False
yprA,,0.987,0.6258550956721688,1974,990,False
marP,,0.9965,0.6252116901340301,1992,996,False
ctpV,,0.9645,0.6248779215291447,1927,989,False
oxc,,0.996,0.6247820427438396,1991,995,False
mazF3,,0.9985,0.6246630673583877,1995,997,False
ggtA,,0.996,0.6243832328306175,1989,993,False
sulP,,0.9755,0.6240295958184567,1952,979,False
ansP1,,0.999,0.6239566219526139,1997,999,False
vapC40,,0.999,0.6233765125441263,1996,998,False
lprF,,0.9965,0.6230584912279287,1992,994,False
pdtaS,,0.9955,0.6229210771146437,1991,994,False
nrnA,,0.9965,0.6224153802043249,1994,999,False
gcvH,,0.9955,0.6224093968652947,1993,997,False
hsaB,,0.997,0.6223665987943791,1995,997,False
otsA,,0.996,0.6220524734223883,1990,995,False
pheS,,0.995,0.6219119205004572,1993,996,False
tadA,,0.9565,0.6216701516086238,1914,955,False
fadD23,,0.992,0.6213944215002136,1983,995,False
eccA3,,0.993,0.621390602024464,1984,993,False
hddA,,0.997,0.6208535153198288,1992,997,False
ephB,,0.9965,0.6207404910909792,1991,997,False
kefB,,0.9925,0.6205837640928595,1986,993,False
csa3,,0.9915,0.6205412635926232,1983,990,False
yobV,,0.961,0.6203340621450021,1922,971,False
plsB1,,0.986,0.6199640604122458,1972,989,False
ctpF,,0.962,0.6199333352085736,1923,974,False
pknB,,0.995,0.6191885515702036,1991,994,False
polA,,0.9905,0.6191547906049417,1983,990,False
nodJ,,0.9525,0.6187196826554402,1903,970,False
rip,,0.989,0.6185702004850941,1977,990,False
galK,,0.936,0.6184338354630033,1872,970,False
cyp136,,0.9975,0.6183108000028169,1994,997,False
ctpD,,0.964,0.6175417146919737,1927,965,False
embC,,0.985,0.6174559003186236,1969,993,False
lipQ,,0.992,0.6171871503265316,1983,995,False
cobM,,0.976,0.6170818106381908,1954,986,False
sufB,,0.994,0.6169014084507043,1989,994,False
murG,,0.939,0.6165935150216053,1879,970,False
pimE,,0.9995,0.6165153129080986,1997,999,False
sdhD,,0.994,0.6163076140630288,1987,994,False
lipU,,0.9935,0.6162659301284571,1984,991,False
trmL,,0.9935,0.6160138542095949,1990,994,False
csm4,,0.9965,0.6151684909947522,1988,993,False
lipL,,0.991,0.6148003750930088,1981,990,False
eRF1,,0.9965,0.6147875053660261,1990,995,False
aRO8,,0.9975,0.6147131066809782,1995,996,False
mmpL10,,0.9965,0.6144300821375956,1991,995,False
aftB,,0.997,0.6143917725119246,1995,997,False
sigG,,0.9935,0.614319538497076,1987,991,False
carA,,0.985,0.6142191034293351,1972,991,False
narL,,0.9775,0.6139081156813951,1956,986,False
ytxK,,0.994,0.6135260708257603,1987,993,False
