gene_name,annotation,prevalence,lr_auroc_kanamycin,n_train,n_pos,kept_filtered
rpoB,,0.9875,0.8001417416311033,1977,987,True
embB,,0.981,0.7962328126558706,1962,986,False
pPE66,,0.1875,0.7806311176872297,375,191,False
sufC,,0.136,0.7612918892666343,274,203,False
ftsK,,0.279,0.7552602436323368,559,301,False
gyrA,,0.9925,0.7322171569159521,1995,996,False
katG,,0.9885,0.7245519001643596,1977,986,False
ethA,,0.967,0.7164133078900091,1930,942,False
sufS,,0.1025,0.7139917695473251,207,180,False
pncA,,0.8575,0.6976901817539267,1715,753,False
rsmG,,0.974,0.6889659692727177,1953,975,False
fadE17,,0.976,0.6864870770118454,1942,976,False
cYB5,,0.6695,0.6804685500276172,1335,654,False
atsD,,0.993,0.6725931164976227,1984,991,False
pE_PGRS26,,0.3785,0.6714363002726175,755,364,False
argS,,0.991,0.6709266358362743,1986,990,False
espK,,0.967,0.6670330601743668,1931,977,False
plcA,,0.95,0.666781095660406,1893,957,False
ephB,,0.996,0.656042624469867,1982,987,False
accE5,,0.534,0.6560116881487191,1068,455,False
leuS,,0.989,0.6516953626993706,1981,989,False
mmaA2,,0.997,0.6499548847345249,1993,996,False
lolE,,0.4215,0.6484058994965998,842,507,False
ykfC,,0.576,0.6472012135592382,1152,486,False
lipQ,,0.993,0.646127648839556,1983,992,False
mhpF,,0.1495,0.6420846964740095,299,131,False
ponA1,,0.8615,0.6397897178451252,1718,916,False
ispE,,0.9785,0.6375372114066042,1960,983,False
adh,,0.989,0.6352788267681886,1977,990,False
lysX,,0.993,0.6348713263286128,1985,990,False
kdpD,,0.877,0.631136216872028,1752,847,False
dhaA,,0.9935,0.630551453884598,1986,992,False
hisJ,,0.9695,0.6276570417984559,1940,972,False
ggt,,0.9875,0.6225727173170325,1976,987,False
trpG,,0.996,0.6219384692928431,1988,991,False
glgP,,0.988,0.6217560611177634,1977,987,False
dop,,0.9975,0.6210941520503243,1991,993,False
lppN,,0.9965,0.6206255030191258,1989,993,False
pE23,,0.9625,0.6205958395084431,1923,970,False
pE_PGRS30,,0.591,0.6204844860461086,1181,641,False
yhfA,,0.993,0.6197460577721099,1988,990,False
cyp138,,0.994,0.6194242922322669,1988,994,False
carB,,0.974,0.6192495853192517,1952,982,False
lhr,,0.9365,0.6189120171747178,1874,957,False
pPE38,,0.622,0.6178732971477225,1236,696,False
