gene_name,annotation,prevalence,lr_auroc_moxifloxacin,n_train,n_pos,kept_filtered
gyrA,,0.99,0.9096381742907422,1983,990,True
embB,,0.9815,0.8060147912375958,1961,980,True
rpoB,,0.987,0.7729007516521624,1978,986,False
katG,,0.987,0.7694070522670928,1976,986,False
pncA,,0.898,0.7299530036525013,1797,827,False
sufC,,0.102,0.7215362762237764,207,143,False
rsmG,,0.9735,0.708037562695661,1950,976,False
espK,,0.971,0.6986870302254917,1937,975,False
fadE17,,0.978,0.6962308130455527,1951,982,False
ethA,,0.9645,0.6930434268261206,1929,944,False
plcA,,0.947,0.686147816349384,1890,950,False
polA,,0.9885,0.6837533117216049,1979,986,False
pE_PGRS26,,0.444,0.6779256914706551,885,492,False
lysX,,0.994,0.6774661699963388,1986,989,False
eccD3,,0.9905,0.6758393934467962,1978,991,False
ponA1,,0.847,0.6753954207051552,1691,900,False
lhr,,0.9435,0.6732208451478209,1885,959,False
pPE59,,0.8695,0.6702816531718125,1734,901,False
fadD15,,0.947,0.6695265477815319,1891,935,False
cyp138,,0.997,0.6686741957811205,1994,996,False
yhfA,,0.9925,0.6686107304197755,1985,990,False
atsD,,0.9895,0.6682457162720321,1978,990,False
pdtaS,,0.9945,0.6679877857274564,1987,994,False
dkgA,,0.9955,0.6667735197819391,1992,996,False
pE23,,0.969,0.6664097321043206,1935,972,False
pks15,,0.891,0.6661092699554966,1780,895,False
mftG,,0.994,0.6653866220167679,1989,993,False
leuS,,0.99,0.664984853509327,1983,989,False
ctpD,,0.966,0.6647845767371314,1927,968,False
opcA,,0.996,0.6645441060725313,1991,996,False
wecE,,0.9955,0.6644730988404778,1989,993,False
fadD23,,0.9915,0.6635781285746968,1979,987,False
eno,,0.976,0.6629295419473823,1956,978,False
lldD,,0.991,0.6622480077634666,1983,989,False
proX,,0.9925,0.661877927504482,1985,994,False
adnA,,0.9425,0.6614935054672383,1883,966,False
mmaA2,,0.996,0.6613519082475122,1991,993,False
narL,,0.9785,0.6611066677121723,1956,981,False
pPE18,,0.754,0.6604705250284534,1505,773,False
mbtB,,0.949,0.6602302428546281,1895,961,False
mmpL9,,0.979,0.6600988646664415,1956,983,False
plsB1,,0.9855,0.6600698991584836,1968,986,False
accD6,,0.994,0.659586389723026,1986,993,False
bioF2,,0.967,0.6592007518603614,1932,968,False
pPE22,,0.9435,0.6589824142552634,1884,957,False
ytxK,,0.993,0.6573011522257753,1985,990,False
lipU,,0.9945,0.657235542416964,1985,991,False
csm4,,0.994,0.6565050481393419,1982,985,False
nrnA,,0.995,0.6563201780445312,1993,998,False
gcvH,,0.993,0.6554635882238633,1988,992,False
ypfJ,,0.989,0.6554544319498287,1977,988,False
uvrC,,0.989,0.6554363004413459,1981,990,False
desA,,0.9775,0.6551655387938702,1955,982,False
rpsL,,0.9935,0.6549496070889803,1989,993,False
papA2,,0.991,0.6549241758825379,1979,988,False
lysS,,0.9935,0.6547879962059292,1991,996,False
ggtA,,0.9915,0.6545141087602184,1979,988,False
pPE38,,0.64,0.6544390248823473,1275,737,False
lipF,,0.984,0.6536271151250909,1963,988,False
pyrD,,0.989,0.6534386200716846,1982,992,False
sdhD,,0.991,0.6534317013190253,1984,990,False
cut5b,,0.9485,0.6532173913043477,1895,975,False
nlpC,,0.951,0.653083095094586,1902,965,False
ybbP,,0.9895,0.6526044430267545,1978,987,False
lipQ,,0.9935,0.652471660628725,1984,995,False
aftB,,0.993,0.6520190931663343,1981,988,False
ephB,,0.997,0.6513654793080088,1989,994,False
carA,,0.981,0.6512945117921157,1965,982,False
mmpL10,,0.995,0.6507739677215666,1985,991,False
sufB,,0.9885,0.6501507005539264,1982,990,False
csa3,,0.99,0.6501189525631287,1978,989,False
pimE,,0.9975,0.6497701065832747,1990,994,False
kefB,,0.9905,0.6494823482117622,1980,989,False
pPE17,,0.9825,0.6494787393113445,1960,974,False
eRF1,,0.9945,0.6493974925130703,1985,990,False
glpQ1,,0.995,0.648930413967153,1985,991,False
hddA,,0.995,0.6484861904819681,1989,993,False
lipL,,0.9895,0.6483597395272523,1975,985,False
ctpF,,0.961,0.6482253652860023,1918,973,False
sulP,,0.9715,0.6474098551337633,1945,980,False
trmL,,0.991,0.6469189472625227,1984,991,False
mycP4,,0.9695,0.6468339537072691,1934,980,False
nodJ,,0.9615,0.6467652155079056,1922,972,False
chiZ,,0.9705,0.6467568040157714,1937,978,False
rpfE,,0.985,0.6462300736892658,1968,985,False
ltp2,,0.992,0.6459798977065953,1982,989,False
pknB,,0.9945,0.645897830862857,1990,995,False
lppN,,0.9935,0.6451877113683663,1984,992,False
cyp121,,0.9425,0.6451359185449286,1882,965,False
pafB,,0.997,0.6451001189051024,1989,992,False
pPE44,,0.981,0.6450849164177299,1959,982,False
pPE1,,0.9475,0.6450065842335506,1894,974,False
disA,,0.9945,0.6445181597817891,1988,995,False
sigG,,0.992,0.6440898601004204,1984,991,False
pE_PGRS24,,0.6615,0.6439910339674694,1320,685,False
pE_PGRS30,,0.5935,0.6432121641188793,1184,677,False
guaB,,0.974,0.6431289527280524,1951,982,False
narS,,0.993,0.6430539025705191,1983,990,False
cyp143,,0.996,0.6425904725239099,1987,992,False
lprF,,0.9945,0.6422261034797045,1983,991,False
aRO8,,0.994,0.6422187235318672,1987,991,False
dusB,,0.9865,0.6420851517200402,1976,990,False
glgB,,0.9835,0.6420720971179686,1971,990,False
argS,,0.9915,0.6409110566527316,1985,991,False
spmT,,0.972,0.6390264864773324,1944,972,False
obgE,,0.9875,0.6379148163430388,1979,991,False
purU,,0.989,0.6378181140582663,1982,989,False
fadD32,,0.992,0.6375789432912982,1981,988,False
kgd,,0.9955,0.6375310093492683,1990,996,False
oxc,,0.996,0.6373473794676192,1991,996,False
purF,,0.99,0.6365556508519772,1984,992,False
nrtS,,0.9955,0.6358627816501865,1987,995,False
hcaE,,0.99,0.6340178096757044,1978,988,False
mmpL5,,0.9695,0.6340118505295246,1938,979,False
yprA,,0.986,0.632834795312587,1969,987,False
mprB,,0.9695,0.629784655731533,1934,978,False
nudC,,0.9905,0.6290585115283786,1986,991,False
ramB,,0.993,0.6287768161184802,1984,993,False
mhpF,,0.132,0.628518853305785,264,88,False
ggt,,0.985,0.6279443651280194,1972,986,False
dinG,,0.982,0.6279202893741288,1964,988,False
mmpL12,,0.919,0.6270481283422461,1835,935,False
fadD19,,0.493,0.6257775020678247,985,465,False
murG,,0.948,0.6257645293872225,1899,968,False
lipY,,0.9945,0.6257383007723762,1986,992,False
embC,,0.9875,0.6253993249457985,1974,992,False
ctpV,,0.9745,0.6245406962633095,1947,982,False
trpG,,0.996,0.6235882875211738,1990,993,False
stp,,0.994,0.6235137900789397,1985,992,False
esxV,,0.7215,0.6230119743868328,1441,717,False
pPE3,,0.928,0.6206054357576393,1853,930,False
