gene_name,annotation,prevalence,lr_auroc_pyrazinamide,n_train,n_pos,kept_filtered
pncA,,0.931,0.8780005219303106,1865,873,True
rpoB,,0.9865,0.8503500046053237,1977,990,True
embB,,0.9965,0.8407141244259142,1992,998,True
katG,,0.995,0.8191053954247574,1990,994,True
rsmG,,0.9725,0.7065561917253091,1951,967,False
pE_PGRS30,,0.401,0.6931537598204265,801,405,False
pE_PGRS26,,0.4735,0.6873003764966186,947,479,False
fadD15,,0.9825,0.6864797197356295,1961,982,False
gyrA,,0.988,0.6829009586734033,1988,996,False
espK,,0.9585,0.6819392880541603,1914,964,False
rpsL,,0.9885,0.6809309507469778,1985,997,False
lysX,,0.9955,0.6754117499853686,1991,998,False
mbtB,,0.982,0.6683912708814412,1961,981,False
pdtaS,,0.9985,0.664789498837354,1996,998,False
pPE59,,0.78,0.6643001102345473,1553,801,False
pPE18,,0.5595,0.6630122507806869,1118,575,False
ponA1,,0.829,0.661936503573392,1655,856,False
csa3,,0.9935,0.6593085130657806,1986,993,False
fadE17,,0.9865,0.6575606548944941,1964,978,False
eccD3,,0.9915,0.6567847659323367,1976,992,False
dusB,,0.9855,0.6566661413196988,1977,989,False
proX,,0.9895,0.6550662646664706,1979,987,False
plcA,,0.9205,0.6539567682884537,1829,906,False
papA2,,0.99,0.6538237343004077,1976,990,False
wecE,,0.9975,0.6533446912631568,1989,994,False
lhr,,0.968,0.6532767762233882,1936,974,False
mmpL9,,0.9625,0.65311004784689,1921,931,False
opcA,,0.9975,0.652792509584671,1988,994,False
aftB,,0.99,0.6527581793719031,1975,992,False
carA,,0.99,0.6496898039235611,1984,995,False
accD1,,0.9965,0.6495296219263487,1988,995,False
pPE38,,0.541,0.6483178886242329,1074,565,False
bioF2,,0.9385,0.6479209317215271,1874,951,False
ytxK,,0.9935,0.6478154220726697,1989,997,False
lldD,,0.9965,0.6469018438887826,1993,998,False
crtC,,0.9935,0.6454538590569787,1980,986,False
cobN,,0.9765,0.6448578030907184,1955,978,False
ctpF,,0.942,0.6447421201490305,1879,952,False
sufB,,0.978,0.6432955849100522,1962,986,False
mmpL10,,0.997,0.6432024306643883,1989,994,False
plsB1,,0.9625,0.641941813700052,1924,984,False
nodJ,,0.9935,0.6419034937633893,1983,994,False
pPE20,,0.9925,0.6405743799458282,1979,988,False
narL,,0.995,0.6401114042446273,1987,991,False
ethA,,0.9715,0.6393041121996248,1940,946,False
mmaA2,,0.998,0.637930307438833,1996,997,False
amyA,,0.991,0.6376916707525233,1983,994,False
desA,,0.9815,0.6376272692544056,1963,987,False
fadD28,,0.9885,0.6372162083209901,1972,984,False
nlpC,,0.9655,0.6367202272492867,1930,944,False
pPE1,,0.9705,0.636166927069993,1936,972,False
pknA,,0.897,0.6359684776650196,1790,909,False
mftG,,0.998,0.6358903994174535,1997,999,False
lipF,,0.985,0.6353008984047888,1967,985,False
leuS,,0.987,0.635267031326683,1980,993,False
atsD,,0.9945,0.6352550180581339,1989,996,False
pknB,,0.9915,0.6349127068237251,1986,995,False
argS,,0.989,0.6345186503637208,1982,994,False
ramB,,0.992,0.6342515232667447,1985,994,False
narS,,0.995,0.6339575903712109,1987,992,False
eno,,0.982,0.6336156840962975,1972,985,False
ctpD,,0.9715,0.6333791290462316,1941,973,False
bkdC,,0.996,0.6328888495960117,1984,993,False
rpfE,,0.9895,0.631385940615093,1979,992,False
pyrD,,0.991,0.6312262508561922,1981,992,False
lprF,,0.996,0.6304978282319672,1983,990,False
pE23,,0.9835,0.6286655051542116,1964,990,False
pimE,,0.9975,0.6282627994354052,1989,993,False
mhpF,,0.189,0.628081685980459,379,163,False
