gene_name,annotation,prevalence,lr_auroc_streptomycin,n_train,n_pos,kept_filtered
katG,,0.99,0.8220475341191067,1980,992,True
rpoB,,0.981,0.7838889921712008,1968,990,False
rpsL,,0.979,0.7744295224216732,1966,992,False
embB,,0.996,0.7736941325044112,1985,994,False
rsmG,,0.9695,0.7289838167297183,1951,975,False
pPE18,,0.378,0.7245353950915023,751,380,False
pncA,,0.938,0.7127806796900817,1868,904,False
espK,,0.976,0.7093994609802299,1946,987,False
pE_PGRS26,,0.5635,0.7039311334289814,1125,615,False
accE5,,0.4765,0.6992225461613216,952,441,False
eno,,0.9785,0.6874186396707556,1970,987,False
argS,,0.9815,0.6869923811159641,1978,994,False
lldD,,0.9925,0.6844772815960197,1984,996,False
fadE17,,0.991,0.6837916536904391,1963,988,False
opcA,,0.997,0.6827739384959193,1988,996,False
ybbP,,0.9825,0.6807283977024328,1958,985,False
amyA,,0.9885,0.680250229730685,1976,989,False
pPE59,,0.8405,0.6797339028584788,1670,841,False
mhpF,,0.195,0.6793690713758509,390,157,False
lysX,,0.9975,0.6788452707520152,1993,997,False
ctpD,,0.989,0.6774255242783161,1975,990,False
kdpD,,0.8765,0.6762328999582289,1752,840,False
plsB1,,0.935,0.6757313023589064,1868,972,False
accD1,,0.997,0.6754612609936668,1983,994,False
ramB,,0.9965,0.6745462726105376,1989,994,False
ctpF,,0.9255,0.67435826004368,1845,939,False
atsD,,0.995,0.6739458380612742,1987,995,False
fadD15,,0.9835,0.6737823537644314,1957,979,False
crtC,,0.994,0.6736838715218139,1978,994,False
leuS,,0.981,0.6727031049408664,1968,989,False
bioF2,,0.931,0.6718105442619295,1857,961,False
sufB,,0.982,0.6706559639504814,1970,987,False
hddA,,0.9975,0.670390325053711,1990,993,False
narS,,0.995,0.6703848176718092,1981,992,False
mmpS,,0.131,0.6685737362859259,262,83,False
adnA,,0.9905,0.6684578579315422,1978,990,False
ytxK,,0.993,0.6680221001886055,1984,992,False
rpfE,,0.9915,0.6678228257672322,1979,992,False
lprF,,0.994,0.6677895777444152,1975,991,False
pPE38,,0.577,0.6672431988742965,1141,608,False
gcvH,,0.984,0.6667395456834218,1981,994,False
polA,,0.9815,0.666602957345582,1973,990,False
plcA,,0.9365,0.6657125919339002,1859,947,False
nodJ,,0.994,0.6651071832970828,1982,996,False
mbtB,,0.9955,0.664707559465624,1982,992,False
nudC,,0.9905,0.66414652574079,1990,996,False
cyp138,,0.994,0.6637664127087048,1987,992,False
pE23,,0.993,0.6625580555374166,1980,992,False
mftG,,0.999,0.6625520580238633,1996,998,False
proX,,0.9905,0.6623490992005173,1977,988,False
lipQ,,0.998,0.6622722043954713,1991,996,False
ephB,,0.996,0.6620678068509704,1973,989,False
mmaA2,,0.998,0.6598340658887394,1994,997,False
narL,,0.9935,0.6592353545525751,1983,993,False
lhr,,0.9695,0.6584074815615585,1937,971,False
lipF,,0.985,0.6578284364524289,1953,989,False
pdtaS,,0.9965,0.6577214289754592,1990,994,False
purF,,0.9805,0.6574730572887124,1973,989,False
csm4,,0.9925,0.6572587523248765,1973,990,False
wecE,,0.9895,0.657093737090572,1973,994,False
pknA,,0.96,0.6570826288519226,1915,965,False
pks15,,0.863,0.6569748406230044,1721,897,False
eccD3,,0.987,0.6569131919491705,1964,983,False
cyp121,,0.9375,0.6564495398104158,1867,940,False
otsA,,0.995,0.6561699452576827,1975,994,False
dusB,,0.9805,0.6560791400240943,1971,990,False
phiG,,0.9905,0.655965436816118,1967,984,False
sigG,,0.993,0.6557687861037191,1986,994,False
desA,,0.9915,0.655690714175159,1982,996,False
mmpL9,,0.9855,0.6548844268472707,1963,989,False
aRO8,,0.991,0.6548040776307946,1978,991,False
pE_PGRS24,,0.6635,0.6543210880434176,1314,692,False
pks13,,0.995,0.6539742413776568,1980,991,False
ccsB,,0.992,0.6537051382674021,1981,995,False
chiZ,,0.9975,0.6535533368152568,1986,995,False
pknB,,0.9915,0.653323459522802,1983,992,False
stp,,0.995,0.6531668077211028,1983,991,False
uvrC,,0.983,0.6530154905582481,1976,989,False
obgE,,0.982,0.6524439918533604,1972,990,False
lipL,,0.996,0.6521617140026087,1989,994,False
pE_PGRS30,,0.6355,0.6520093766755197,1268,665,False
kefB,,0.993,0.6516866080438231,1985,994,False
pE_PGRS46,,0.5555,0.651376973060963,1099,596,False
pPE44,,0.9945,0.6509010655231784,1985,992,False
mmpL5,,0.991,0.6506105599111912,1980,994,False
nrnA,,0.9935,0.6505972404603245,1980,993,False
guaB,,0.9765,0.6502827494762744,1962,986,False
pyrD,,0.9885,0.6499932591430532,1979,992,False
yhfA,,0.9915,0.649794244994147,1978,993,False
pepE,,0.995,0.649773827433402,1977,990,False
nrdE,,0.991,0.6497076106756978,1982,991,False
yqjF,,0.9695,0.6496182188315025,1921,954,False
eRF1,,0.994,0.6493429189857761,1970,990,False
far,,0.994,0.6492154083104213,1979,991,False
nlpC,,0.9855,0.6491322013053605,1969,987,False
ggtA,,0.997,0.6489443239775202,1985,993,False
accD6,,0.997,0.6483498299578702,1985,995,False
carA,,0.983,0.6482706782400973,1971,990,False
sulP,,0.957,0.6476741409077763,1911,968,False
fadD23,,0.9885,0.6476693086198985,1974,991,False
ggt,,0.987,0.6476258890994561,1975,991,False
mmpL10,,0.996,0.6475509106733095,1980,991,False
sdhD,,0.989,0.6472296875286094,1983,994,False
proV,,0.9905,0.6469778759252444,1978,988,False
vapC38,,0.9955,0.6469203887457592,1980,995,False
htdY,,0.989,0.646402219283918,1964,989,False
esxU,,0.995,0.6463976812661023,1978,990,False
yggS,,0.991,0.646332187253672,1978,991,False
csa3,,0.9895,0.6459813024571096,1973,984,False
pafB,,0.999,0.645659033285741,1984,995,False
pPE1,,0.986,0.6454105155311322,1966,981,False
mshA,,0.9945,0.6454021283168575,1984,992,False
fadD28,,0.9965,0.6450186445682022,1989,993,False
cobN,,0.9855,0.6449314613395734,1969,987,False
fadD32,,0.9975,0.6447358002131872,1985,995,False
pimE,,0.998,0.6446250463642784,1984,995,False
lipU,,0.995,0.6445775134101652,1979,991,False
gyrA,,0.9815,0.644511180481916,1974,991,False
aftB,,0.987,0.6444324718976442,1964,991,False
bkdC,,0.996,0.6442003282063826,1981,991,False
ltp2,,0.984,0.6440727443928703,1964,986,False
trmL,,0.9835,0.6440340255170827,1973,992,False
papA2,,0.995,0.6439529594700901,1980,993,False
recX,,0.985,0.6439243922544458,1974,993,False
ponA2,,0.996,0.643133447495566,1981,996,False
ponA1,,0.9355,0.6427643249751829,1866,944,False
spmT,,0.9765,0.6427079195539276,1951,978,False
pPE17,,0.9695,0.6424504094572671,1927,958,False
hcaE,,0.9885,0.6421560299656133,1977,992,False
pPE66,,0.213,0.6418098786203582,422,157,False
fdhD,,0.9845,0.6417805861526357,1976,992,False
cyp143,,0.997,0.6416478803400452,1978,993,False
dkgA,,0.995,0.6413205138596207,1987,995,False
mtrB,,0.9945,0.6411746547440121,1988,995,False
mftR,,0.997,0.6407342630907799,1992,995,False
preP,,0.902,0.640579934106826,1802,955,False
ansA,,0.991,0.6402893175677875,1983,991,False
glgB,,0.987,0.6401752317038082,1987,996,False
pPE20,,0.9915,0.6400178614505756,1974,989,False
plcC,,0.95,0.6395550467691187,1887,974,False
maf,,0.988,0.6391422723331861,1978,994,False
kstD,,0.9855,0.6386304128902316,1968,993,False
secA2,,0.9945,0.6383708698913859,1981,992,False
lppW,,0.997,0.6377627445264931,1988,996,False
lipI,,0.9915,0.6376273882745533,1978,986,False
fadD6,,0.9985,0.637445097388941,1989,997,False
ftsK,,0.202,0.6371686865701054,403,199,False
fadD19,,0.3535,0.6370692431561996,705,345,False
lysS,,0.9805,0.6356851321549652,1972,988,False
narJ,,0.992,0.6356452631150211,1982,992,False
adnB,,0.9935,0.6355867118583379,1983,991,False
rfbC,,0.9885,0.6349451239980678,1977,993,False
vapC37,,0.9955,0.6348981507230256,1978,992,False
recR,,0.9795,0.634173284337904,1973,992,False
ileS,,0.979,0.6338347463119961,1964,989,False
mutT4,,0.986,0.6333751966214675,1968,989,False
mycP4,,0.9905,0.6332409900847082,1969,990,False
pknJ,,0.995,0.6319071791153009,1972,987,False
glcB,,0.995,0.6315427576967505,1986,997,False
trpG,,0.998,0.6312052229016568,1991,996,False
oxyS,,0.9985,0.6307152613619753,1992,995,False
bglS,,0.9885,0.6306849838014073,1969,989,False
nrtS,,0.995,0.6305852494797218,1985,995,False
glfT1,,0.998,0.6301763152360306,1989,997,False
tap,,0.989,0.6281710474937834,1973,988,False
purU,,0.9855,0.6278738420369935,1979,994,False
rskA,,0.9945,0.6269281078760638,1990,995,False
skfB,,0.9955,0.6268427923748342,1985,994,False
glpQ1,,0.989,0.6259026874057549,1968,990,False
umaA,,0.9885,0.6246126086134473,1973,989,False
ethA,,0.966,0.6245227228900173,1933,940,False
vapB47,,0.3835,0.6226507006439844,761,388,False
pPE3,,0.945,0.6217315106905011,1881,951,False
cut1,,0.245,0.6201646729843096,485,157,False
mmpL12,,0.935,0.6194651561633031,1868,942,False
pPE14,,0.993,0.6176047671744593,1984,991,False
ctpV,,0.9725,0.6173074921569502,1941,987,False
