gene_name,annotation,prevalence,lr_auroc_ethambutol,n_train,n_pos,kept_filtered
embB,,0.9845,0.9158321874967692,1967,982,True
rpoB,,0.9885,0.8839776919811937,1980,988,True
katG,,0.992,0.8397446439593282,1985,992,True
pncA,,0.9135,0.8016970961948645,1828,846,True
gyrA,,0.9885,0.733429174284968,1980,992,False
rsmG,,0.9775,0.7156083579572964,1958,974,False
pE_PGRS26,,0.454,0.707806953561877,907,450,False
mhpF,,0.167,0.701948051948052,333,168,False
espK,,0.961,0.6935999340869965,1921,972,False
rpsL,,0.989,0.6929292128654364,1984,993,False
bioF2,,0.9395,0.6843438873950802,1877,949,False
mmpS,,0.1035,0.6797010607521697,207,85,False
ytxK,,0.9925,0.6780551651672707,1984,991,False
pPE59,,0.8545,0.6771693451604127,1702,861,False
plsB1,,0.967,0.6739312257705242,1933,985,False
atsD,,0.9955,0.6733471376985432,1990,995,False
ethA,,0.964,0.6726499003302937,1928,937,False
pE_PGRS30,,0.5855,0.6719839181286548,1170,600,False
fadE17,,0.9795,0.6719827550044465,1953,977,False
eno,,0.9775,0.6704294867794212,1961,980,False
lldD,,0.9935,0.6678479740477102,1987,993,False
mmpL9,,0.9745,0.6633673281155296,1948,975,False
proX,,0.986,0.6605134678056489,1972,976,False
pE23,,0.968,0.658548153376431,1934,969,False
pPE18,,0.6045,0.6584966328107749,1207,647,False
fadD15,,0.9655,0.6579326658953859,1927,961,False
lysX,,0.993,0.6572399040708902,1984,990,False
plcA,,0.9405,0.6552417377660096,1873,946,False
wag22,,0.1565,0.6542963885429639,311,146,False
ponA1,,0.8695,0.6531951047392661,1737,889,False
eccD3,,0.9885,0.6529046808100031,1974,987,False
opcA,,0.996,0.651389327471175,1988,992,False
sufB,,0.985,0.6487009821064889,1972,986,False
lhr,,0.9385,0.6481625466197883,1876,949,False
mbtB,,0.9515,0.6481416435177746,1900,953,False
narL,,0.979,0.6472986748216105,1958,977,False
wecE,,0.994,0.6460531490361897,1984,993,False
gcvH,,0.9915,0.6451937431366297,1988,993,False
mftG,,0.997,0.644798121820371,1995,998,False
ephB,,0.9985,0.6442639476217598,1992,995,False
desA,,0.9815,0.6441598413835342,1963,985,False
ftsK,,0.2405,0.6431463273568537,482,273,False
ggt,,0.9835,0.6431130202841014,1967,987,False
leuS,,0.991,0.6429664912451678,1985,992,False
lipF,,0.9865,0.6427310848784482,1967,989,False
ctpF,,0.9535,0.6419148626571688,1905,963,False
adnA,,0.95,0.6417325545240528,1898,958,False
hddA,,0.995,0.6413169679040363,1987,995,False
polA,,0.987,0.6404272664477074,1980,993,False
ctpD,,0.9755,0.6401923675750283,1950,982,False
mmaA2,,0.998,0.6399494073402574,1995,997,False
pimE,,0.998,0.6394411818126778,1991,996,False
aRO8,,0.9955,0.6383973078242619,1991,995,False
yhfA,,0.9935,0.6380142611471047,1985,991,False
dusB,,0.986,0.6379609099121295,1974,990,False
aftB,,0.9915,0.6370722619864693,1979,987,False
lipU,,0.996,0.6367488299215553,1986,991,False
ggtA,,0.9935,0.6365235710100583,1983,991,False
lipQ,,0.9945,0.6361719536757301,1985,992,False
uvrC,,0.9885,0.6358111407238622,1983,995,False
accD6,,0.9955,0.635515278002918,1987,992,False
obgE,,0.988,0.6354421228413165,1982,990,False
lipL,,0.9915,0.6352707402394077,1981,989,False
cyp138,,0.9955,0.6344892131339429,1991,995,False
fadD23,,0.992,0.6344201751179385,1982,991,False
lysS,,0.9925,0.634336525030049,1985,993,False
argS,,0.9905,0.6340126618295632,1984,994,False
csa3,,0.9915,0.6339329397566783,1981,992,False
embC,,0.988,0.6338085422637574,1974,988,False
nudC,,0.993,0.6337585993520912,1989,993,False
accD1,,0.9905,0.6336214219192942,1977,987,False
pPE25,,0.468,0.6336048236457533,935,479,False
