gene_name,esm_lr_auroc,ft_lr_auroc,delta_ft_minus_esm,prevalence,n_carriers_esm,n_carriers_ft,selection_esm_lr_auroc
mhpA,0.7879123659178304,0.9597652297105849,0.17185286379275444,0.9335,609,609,0.815470515981777
lpoA,0.8006729407002631,0.9655130540376441,0.16484011333738102,0.937,614,614,0.8088454346291696
gatC,0.7921119206638332,0.9599625581866019,0.16785063752276874,0.931,607,607,0.8077099355595685
cpdB,0.7972475207447886,0.9567041084800648,0.15945658773527627,0.9365,610,610,0.8071295820996764
gyrA,0.8104786480469541,0.9595324833029751,0.149053835256021,0.937,614,614,0.8058107532105634
tssH,0.7471311475409836,0.9399716656547258,0.19284051811374214,0.8855,575,575,0.8053782094176528
xynB,0.7901892329487958,0.9634486945962356,0.17325946164743977,0.9245,607,607,0.8051175373305345
fadJ,0.8018467921473387,0.9607670512042096,0.1589202590568709,0.9375,613,613,0.8048379593557791
parC,0.8173143088443636,0.9601092896174863,0.1427949807731227,0.936,613,613,0.8045343193422125
comEC,0.7990841934831006,0.950986642380085,0.15190244889698445,0.9305,610,610,0.8040519327546223
benC,0.7795284355393646,0.9651436956081765,0.1856152600688119,0.9305,609,609,0.8035254324292118
mnmC,0.7920107265735681,0.9613134992916413,0.16930277271807326,0.9375,614,614,0.803519703372352
pqqF,0.7756931795183162,0.946999595223639,0.1713064157053228,0.9305,608,608,0.8027199270347318
fimK,0.7803531673750252,0.9545790325844971,0.1742258652094718,0.8855,571,571,0.8023206117716076
hrpB,0.7942926533090467,0.9658975915806517,0.17160493827160495,0.935,612,612,0.8023085807522023
tadD,0.7778840315725561,0.9441712204007285,0.1662871888281724,0.8805,575,575,0.801889213790069
rbbA,0.7810615260068813,0.9511283141064562,0.17006678809957487,0.93,609,609,0.8017454144628895
paaH,0.8214076097955879,0.9638129933211901,0.14240538352560217,0.937,613,613,0.8016801032146883
bcsC,0.7812082574377656,0.9591125278283749,0.1779042703906093,0.933,613,613,0.8014486493175548
walK,0.806906496660595,0.9612780813600484,0.15437158469945345,0.9235,607,607,0.801420004033256
dsbD,0.7431491600890507,0.9481481481481482,0.20499898805909744,0.92,600,600,0.8004036693463376
ftsK,0.7832321392430684,0.9577565270188221,0.17452438777575363,0.932,610,610,0.7997121721833664
thiK,0.7923952641165757,0.9599676178911152,0.1675723537745395,0.9375,614,614,0.7991375477803342
gspL,0.7782179720704312,0.9644403966808339,0.18622242461040273,0.921,607,607,0.7989679676972858
pgaA,0.7662214126695002,0.9543918235175066,0.18817041084800645,0.9295,605,605,0.7987880753118899
ncs1,0.7748431491600891,0.9538200769075086,0.17897692774741947,0.9125,594,594,0.7983755832179883
polB,0.7771301356000809,0.9601801254806719,0.18304998988059096,0.9325,611,611,0.7977098668108862
hpxW,0.7772667476219388,0.9510524185387573,0.1737856709168185,0.9285,606,606,0.7969736830044091
entF,0.7487856709168185,0.961267961951022,0.21248229103420357,0.9335,611,611,0.7963440596555232
nfsB,0.7937462052216151,0.927464076097956,0.1337178708763409,0.755,481,481,0.7961601569303256
eefC,0.7856456182958915,0.9677039060918843,0.18205828779599276,0.9325,610,610,0.7958181322357989
msyB,0.7886409633677395,0.9600890507994334,0.17144808743169393,0.9305,609,609,0.7944769600249327
menF,0.7813600485731633,0.9611414693381908,0.17978142076502746,0.937,613,613,0.7942999321679667
tmcA,0.8060159886662619,0.9636763812993321,0.1576603926330702,0.937,612,612,0.7938227017315502
ccmI,0.7694242056263914,0.9588038858530662,0.18937968022667484,0.932,610,610,0.7937694215027545
cueO,0.7839556769884639,0.9584901841732443,0.17453450718478036,0.937,613,613,0.7936852043669164
hrpA,0.7833282736288201,0.9577514673143088,0.17442319368548875,0.9365,612,612,0.7932601083479234
pgtC,0.7732746407609795,0.9454007285974498,0.17212608783647032,0.898,583,583,0.7931609956642498
nirB,0.758029751062538,0.9494788504351347,0.1914490993725967,0.91,589,589,0.7931042780013383
tssM,0.7930479659987856,0.9185589961546246,0.12551103015583898,0.7555,488,488,0.7927737114205311
bcsO,0.7400172029953451,0.9581309451528031,0.21811374215745793,0.9295,607,607,0.792645380546873
sbcC,0.7320127504553734,0.928020643594414,0.19600789313904066,0.8365,525,525,0.7924030414417057
zraR,0.7929619510220604,0.9687057275855091,0.17574377656344875,0.9255,610,610,0.7918868534186427
dgcQ,0.7942066383323214,0.9581410645618297,0.16393442622950827,0.9285,606,606,0.7918266983216155
sbcB,0.80459927140255,0.9631957093705729,0.1585964379680228,0.937,612,612,0.7907903119356878
fiu,0.7671827565270188,0.9669145921878163,0.19973183566079744,0.934,611,611,0.789134614503222
ecpC,0.7726573568103622,0.9552317344667072,0.182574377656345,0.9145,596,596,0.7891243022008745
trpF,0.7689536531066585,0.9633879781420766,0.19443432503541802,0.9365,614,614,0.7889621698917437
guaD,0.8013256425824731,0.9531167779801659,0.15179113539769284,0.931,611,611,0.7888378493578874
pbpC,0.7835407812183768,0.9577970046549282,0.17425622343655145,0.935,613,613,0.7883634834499006
