locus_tag	display_name	product	pos	is_regulator	mobile_element	replicates_invasion	blood_sig	blood_beta	blood_ve	blood_consequence	blood_location	blood_lineage	resp_sig	resp_beta	resp_ve	resp_consequence	resp_location	resp_lineage	hotspot_contrast	hotspot_verdict	hotspot_SR_nonsyn	hotspot_SR_syn
KPN_RS24485	fimbria/pilus outer membrane usher protein	fimbria/pilus outer membrane usher protein	4972208.0	False	False	True	True	0.2	3.195566265060242	synonymous	in		True	0.242	5.0308592771084335	synonymous	in					
KPN_RS13515	capsule assembly Wzi family protein	capsule assembly Wzi family protein	2744372.0	False	True	True	True	0.274	1.0659317615903618	synonymous	in		True	0.249	1.004156991	synonymous	in		resp_vs_rest	density/clade	1.26	1.39
KPN_RS10755	riboflavin synthase	riboflavin synthase	2196209.0	False	False	False	True	-0.559	8.050814446582331	noncoding	intergenic	other	True	-0.533	4.913483547433735	noncoding	intergenic	SL258				
KPN_RS00070	dnaK	molecular chaperone DnaK	15231.0	False	False	False	True	0.568	7.818092973493976	synonymous	in	SL307	False									
KPN_RS01755	phoA	alkaline phosphatase	368126.0	False	False	False	True	0.445	7.723690753012049	synonymous	in	other	False									
KPN_RS02245	nickel/cobalt efflux protein RcnA	nickel/cobalt efflux protein RcnA	465567.0	False	False	False	True	-0.522	7.480020659855422	missense	in	SL307	True	-0.429	4.8370882559999995	missense	in					
KPN_RS10715	helix-turn-helix domain-containing protein	helix-turn-helix domain-containing protein	2187589.0	True	False	False	True	0.411	6.588529557831324	synonymous	in	SL147	False									
KPN_RS23500	rpoB	DNA-directed RNA polymerase subunit beta	4772393.0	False	False	False	False						True	-0.439	6.364269699855423	synonymous	in					
KPN_RS24000	extracellular solute-binding protein	extracellular solute-binding protein	4880563.0	False	False	False	False						True	-0.647	5.725009321763052	synonymous	in	SL258				
KPN_RS17820	protein YgfX	protein YgfX	3643980.0	False	False	False	True	-0.492	2.709980362987952	missense	in	SL17	True	-0.516	4.731341318168674	missense	in					
KPN_RS05020	focA	formate transporter FocA	1049470.0	False	False	False	True	-0.349	4.673978855823292	synonymous	in	other	False									
KPN_RS23970	bamA	outer membrane protein assembly factor BamA	4874622.0	False	False	False	False						True	-0.217	4.5712072253012055	synonymous	in					
KPN_RS20445	nfuA	Fe-S biogenesis protein NfuA	4130415.0	False	False	False	True	0.192	3.591708375903615	noncoding	intergenic	other	False									
KPN_RS09430	iron-containing redox enzyme family protein	iron-containing redox enzyme family protein	1934204.0	False	False	False	True	0.294	3.5329413253012047	synonymous	in		False									
KPN_RS11350	TonB-dependent siderophore receptor	TonB-dependent siderophore receptor	2307956.0	False	False	False	True	0.391	3.4249954989196785	synonymous	in	SL17	False									
KPN_RS15595	bifunctional acetate--CoA ligase family protein/GNAT family N-acetyltransferase	bifunctional acetate--CoA ligase family protein/GNAT family N-acetyltransferase	3194779.0	False	False	False	True	-0.4	3.311148594377511	synonymous	in	other	False									
KPN_RS10380	PLP-dependent aminotransferase family protein	PLP-dependent aminotransferase family protein	2123878.0	False	False	False	True	0.2	3.0752771084337356	synonymous	in	SL147	False									
KPN_RS10495	LysR substrate-binding domain-containing protein	LysR substrate-binding domain-containing protein	2148279.0	False	False	False	True	-0.306	2.134142686843374	synonymous	in	SL35	True	-0.324	3.003416480385542	synonymous	in	SL258				
KPN_RS00630	pdhR	pyruvate dehydrogenase complex transcriptional repressor PdhR	136556.0	True	False	False	False						True	0.423	2.9439324902168673	noncoding	intergenic	other				
KPN_RS19955	rsmB	16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB	4049968.0	False	True	False	True	-0.357	2.7965074554216858	synonymous	in	other	False									
KPN_RS11575	NAD-dependent epimerase/dehydratase family protein	NAD-dependent epimerase/dehydratase family protein	2353314.0	False	False	False	True	-0.547	2.4704569602409645	missense	in	SL258	True	-0.52	2.076297349397591	missense	in					
KPN_RS23485	rplA	50S ribosomal protein L1	4768525.0	False	False	False	True	0.265	2.4338698951807234	noncoding	intergenic	other	False									
KPN_RS17370	mutH	DNA mismatch repair endonuclease MutH	3556816.0	False	True	False	True	-0.435	2.3966402566265064	synonymous	in	other	False									
KPN_RS15555	nadB	L-aspartate oxidase	3186659.0	False	False	False	True	0.295	2.1817198954819275	synonymous	in		False									
