gene_name,esm_lr_auroc,frozen_lr_auroc,ft_lr_auroc,delta_ft_minus_esm,prevalence,n_carriers_esm,n_carriers_ft,selection_esm_lr_auroc
gatC,0.8556174677623423,0.8730047158357508,0.9775965851725944,0.12197911741025214,0.9455,599,599,0.880744040586928
pqqF,0.812235612866947,0.8519879356397051,0.9814114279141692,0.16917581504722223,0.941,597,597,0.8754197938264755
fadJ,0.8393676434879292,0.8660076424655258,0.9822165706033458,0.14284892711541652,0.9465,602,602,0.8735056667188782
hrpB,0.8644229171725433,0.881497054200161,0.9833156542742852,0.11889273710174197,0.946,601,601,0.8723209521255837
pgtC,0.8230922591281455,0.8490932559714749,0.9736092118547676,0.15051695272662202,0.894,564,564,0.8706975280946604
gyrA,0.854166932917556,0.8998619755389983,0.9827661124388155,0.12859917952125954,0.948,603,603,0.8688676916051852
gspL,0.8338274949838331,0.8735798177565913,0.9834370646797961,0.14960956969596295,0.925,593,593,0.8688218959150245
mhpA,0.8320957991999693,0.8710621493475788,0.9858397127046404,0.1537439135046711,0.9445,599,599,0.8667119756393478
ftsK,0.8488312650964254,0.8693943537771417,0.9905108183061332,0.14167955320970782,0.9435,599,599,0.8663914058082209
xynB,0.8439556788119672,0.8652152798190347,0.9813603077434279,0.13740462893146066,0.9385,594,594,0.8632321668927692
sbcB,0.787333699694557,0.8430035656319091,0.9803123442432298,0.19297864454867275,0.948,601,601,0.8628419079679192
pbpC,0.8044781269569441,0.870026965890066,0.9833859445090547,0.1789078175521106,0.946,602,602,0.8624609409222321
zraR,0.8541605428962132,0.8795225376052755,0.9852901708691706,0.13112962797295735,0.947,602,602,0.8618290931391419
bcsC,0.8498600585325954,0.895861822178486,0.9817564890666735,0.13189643053407807,0.944,601,601,0.8617507758719101
benC,0.801640957480798,0.8729791557503801,0.9812261172952318,0.1795851598144338,0.9405,597,597,0.8617056438874036
hofC,0.8099352051835853,0.9007374084629443,0.9850984702288906,0.17516326504530533,0.934,595,595,0.8610578671686051
cpdB,0.8346006875662965,0.894347387120273,0.9843444477104554,0.1497437601441589,0.948,602,602,0.8597158543351926
rne,0.8272138228941684,0.8707170881950745,0.9886002019246743,0.1613863790305059,0.9455,601,601,0.8586360052353103
dsbD,0.8096093140951091,0.8264917504824466,0.9785231382672818,0.1689138241721727,0.921,590,590,0.8585384405040977
entF,0.8300701624343425,0.8652152798190346,0.9818203892801002,0.15175022684575767,0.944,599,599,0.858130261526576
comEC,0.8547548148810816,0.9059005457078226,0.9877567191074418,0.13300190422636016,0.9445,597,597,0.8581030495947414
gspK,0.8395976842562655,0.8964369240993265,0.9858716628113537,0.14627397855508828,0.948,603,603,0.8580021663352562
dcp,0.8136861477117333,0.8801359796541721,0.9844083479238821,0.1707222002121488,0.928,594,594,0.8579012830757713
hpxE,0.8047656779173644,0.8964241440566411,0.9863700844760821,0.18160440655871768,0.9435,603,603,0.8552305315220363
tssH,0.7900111186371362,0.8439684588546525,0.9744782547573708,0.18446713612023458,0.905,568,568,0.8546298779047078
hypF,0.8273991335131059,0.8677712883561031,0.9842485973903153,0.15684946387720944,0.946,602,602,0.854314617718817
hpxW,0.8368947052283155,0.8685380909172238,0.9838140759390137,0.14691937071069816,0.938,596,596,0.8541865225274974
tmcA,0.839137602719593,0.8757779850984702,0.9814944981916239,0.1423568954720309,0.948,601,601,0.8535433917482804
rbbA,0.8539624522345904,0.7932380794151852,0.9864339846895089,0.1324715324549185,0.941,600,600,0.8518091288730543
ynjC,0.8359170319628867,0.8548826153079352,0.9812005572098611,0.1452835252469744,0.9235,586,586,0.8514168788312408
pat,0.7972446227970402,0.8864045905913325,0.9812325073165745,0.1839878845195343,0.9485,602,602,0.8513485171488266
lpoA,0.8508249517553388,0.889855202116375,0.9853093409331988,0.13448438917786,0.948,603,603,0.8508719764888909
paaH,0.8349840888468567,0.8942387567574476,0.9864212046468235,0.15143711579996677,0.948,602,602,0.8504027365911546
yfaS,0.8265237005891599,0.8786726647667003,0.9821015502191778,0.15557784963001786,0.94,600,600,0.8503947721233006
uraD,0.8067593645762776,0.8790305059618899,0.9879931498971206,0.181233785320843,0.945,603,603,0.849928850753837
tssM,0.7916980842716015,0.8366582744386366,0.9417613454828939,0.15006326121129243,0.768,476,476,0.8495160258367338
cdsB,0.802516390404744,0.879107186218002,0.9768361726328165,0.17431978222807254,0.8875,568,568,0.8492525346918944
fimK,0.8062928930182627,0.8485309340933198,0.977411274553657,0.17111838153539427,0.8985,562,562,0.8472255776230311
ccmI,0.8198972484568099,0.8274694237478752,0.9762419006479481,0.15634465219113824,0.9425,598,598,0.8471631892915075
tadD,0.8123122931230591,0.8598157117844772,0.96679744910348,0.1544851559804209,0.876,559,559,0.8463607691552089
polB,0.8262105895433691,0.8855611077740999,0.9883765511776809,0.16216596163431174,0.9455,602,602,0.8459413071815606
dgcQ,0.8491443761422162,0.8451761728884173,0.9801078635602642,0.13096348741804809,0.938,595,595,0.8457548058926442
cueO,0.7943371630861247,0.8438917785985405,0.9884468414124502,0.19410967832632553,0.9485,602,602,0.8451707449166784
ncs1,0.8011169757306988,0.875937735632037,0.983085613505949,0.18196863777525019,0.9185,578,578,0.8444074834139956
creD,0.8240379822868609,0.8882129666313086,0.9867215356499291,0.16268355336306828,0.9475,602,602,0.8442767334000578
walK,0.8348115582706046,0.8277122445588968,0.9853668511252827,0.15055529285467806,0.933,598,598,0.8441718679066459
paaZ,0.8205618106764477,0.8412143596559611,0.9902552174524262,0.16969340677597844,0.9475,603,603,0.8439807206781479
paaD,0.8143379298886858,0.854262783237696,0.9849387196953237,0.17060078980663784,0.9485,603,603,0.8439043945278796
pcaB,0.7942796528940406,0.8167597479775582,0.9826063619052486,0.18832670901120807,0.945,601,601,0.8436674516092207
aNKYR,0.8284598770559894,0.7679399849195496,0.9750405766355259,0.14658069957953646,0.93,590,590,0.8435559490592636
