gene_name,esm_lr_auroc,frozen_lr_auroc,ft_lr_auroc,delta_ft_minus_esm,prevalence,n_carriers_esm,n_carriers_ft,selection_esm_lr_auroc
ftsK,0.6028740007613247,0.6449371907118386,0.884310366704733,0.28143636594340826,0.9474226804123712,274,274,0.7055725471386658
yfaS,0.6487755360994798,0.7032419743687349,0.9208539525440934,0.2720784164446136,0.9484536082474226,275,275,0.7032335224901424
vagC,0.5563063063063063,0.5786067757898744,0.7927927927927928,0.2364864864864865,0.5587628865979382,169,169,0.7028753496078786
selO,0.6732648141098846,0.6500126887450831,0.9235820327369624,0.2503172186270778,0.9505154639175256,275,275,0.7026199567700904
nfsB,0.6429069914985408,0.6723448800913588,0.8602017510468215,0.2172947595482807,0.8989690721649485,252,252,0.700925643309642
traP,0.6446834158101763,0.6365308970942773,0.8266400203019921,0.18195660449181583,0.5907216494845361,173,173,0.6987205441736172
traR,0.6731062047963456,0.6038891003679736,0.7689062301738359,0.09580002537749022,0.4329896907216495,128,128,0.697206874427702
pgtC,0.66704732901916,0.6947405151630504,0.9147633549041999,0.24771602588503994,0.9391752577319588,267,267,0.6965777359736385
dgcQ,0.6620035528486232,0.7468912574546377,0.9270079939094023,0.26500444106077903,0.9443298969072164,273,273,0.6956246846521362
traX,0.6714566679355412,0.6813221672376601,0.7516812587235123,0.08022459078797117,0.6020618556701031,163,163,0.6949550570896429
gyrA,0.6573087171678721,0.7239880725796218,0.9332254790001269,0.2759167618322548,0.9505154639175256,275,275,0.6925101378498414
rseP,0.6101065854586981,0.6495685826671742,0.8963012308082731,0.28619464534957495,0.9505154639175256,275,275,0.6917875629917092
menC,0.646618449435351,0.7525377490166223,0.9160322294125111,0.2694137799771601,0.9505154639175256,275,275,0.6914636501242705
yheS,0.626855728968405,0.7062872731886817,0.9238358076386246,0.2969800786702196,0.9505154639175256,275,275,0.6912518609417143
csiR,0.6368481157213551,0.6760880598908768,0.8806306306306306,0.2437825149092755,0.9474226804123712,274,274,0.6907846789213702
nirB,0.6592754726557544,0.6467136150234741,0.9078479888339043,0.2485725161781499,0.9474226804123712,273,273,0.690317496901026
flhA,0.6640337520619211,0.6835109757644969,0.8997271919807132,0.2356934399187921,0.9474226804123712,273,273,0.6902147168565502
eutA,0.6221608932876539,0.7000697880979571,0.9060081207968532,0.28384722750919933,0.9443298969072164,271,271,0.6896790148065555
tssC,0.6029057226240324,0.6735503108742545,0.8949054688491308,0.2919997462250984,0.8257731958762886,246,246,0.6891028236481308
hpxW,0.7192932368988707,0.6585458698134755,0.9113056718690521,0.1920124349701814,0.9474226804123712,273,273,0.6889657835888299
hypF,0.6275536099479762,0.7129171424946072,0.9179672630376855,0.29041365308970934,0.9474226804123712,274,274,0.6870254209310004
paaH,0.6027788351732014,0.7024172059383327,0.9411559446770715,0.3383771095038701,0.9474226804123712,275,275,0.6867606844528052
paaZ,0.6085839360487248,0.7113627712219261,0.9262466692044157,0.3176627331556908,0.9505154639175256,275,275,0.6866329880339113
leuC,0.6132153280040604,0.6512815632533943,0.9119718309859155,0.2987565029818551,0.9505154639175256,275,275,0.6859384440969994
hofC,0.6097259231062049,0.6528359345260752,0.9299581271412257,0.32023220403502084,0.945360824742268,274,274,0.6857609149292686
alaX,0.6031912193884025,0.6706953432305546,0.9043585839360486,0.30116736454764614,0.945360824742268,273,273,0.6849698200414858
benC,0.6608932876538511,0.694518462124096,0.8972846085522143,0.23639132089836312,0.945360824742268,273,273,0.684929330933056
aroQ,0.6454764623778708,0.7451148331430022,0.9146999111787845,0.26922344880091365,0.922680412371134,261,261,0.6849231018394515
tdcD,0.6305354650425073,0.6798312396903945,0.9183796472528867,0.28784418221037933,0.9443298969072164,275,275,0.6847362290313136
modF,0.6376094404263418,0.6676500444106077,0.9053736835426976,0.2677642431163558,0.9505154639175256,275,275,0.6840977469368431
gspK,0.6125174470244893,0.6915048851668569,0.9037241466818932,0.29120669965740387,0.9505154639175256,275,275,0.6838641559266709
hemYx,0.6050628092881615,0.709078797106966,0.9143826925517067,0.3093198832635452,0.931958762886598,275,275,0.6834374630147567
fadJ,0.658323816774521,0.7182781372922218,0.9231379266590535,0.26481410988453247,0.9494845360824742,275,275,0.6825498171761027
